HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
22378,"51-60","m",7,"72","Kooiker",,,,"K",2010,"w","weiss/orange"
22776,"51-60","m",11,"119","Berner Sennenhund",,,,"I",2014,"m","tricolor"
22950,"51-60","w",11,"119","Mittelpudel",,,,"K",2013,"w","schwarz"
22956,"41-50","m",10,"101","Cocker Spaniel",,,,"K",2014,"m","orange Schimmel"
23054,"61-70","w",10,"101","Cairn Terrier",,,,"K",2011,"m","rot/beige"
23408,"41-50","m",12,"122","Yorkshire Terrier",,,,"K",2011,"w","black/tan"
23493,"61-70","m",11,"111","Boxer",,,,"I",2013,"m","braun/weiss"
23590,"61-70","w",9,"92","Affenpinscher","Mischling",,,"K",2012,"w","schwarz"
23750,"31-40","w",8,"81","Rhodesian Ridgeback",,,,"I",2011,"w","weizen"
23889,"61-70","w",4,"42","Pudel",,,,"K",2012,"m","braun"
24009,"61-70","w",7,"74","Labradoodle",,,,"I",2016,"m","creme"
24014,"61-70","w",12,"123","Yorkshire Terrier",,,,"K",2007,"w","blue/tan"
44439,"71-80","m",7,"74","Mischling klein",,,,"K",2005,"m","hellbraun"
54322,"71-80","m",3,"33","Lagotto Romagnolo",,,,"I",2009,"m","weiss/orange"
55176,"71-80","m",3,"34","Dobermann",,,,"I",2016,"m","schwarz/braun"
55693,"61-70","w",11,"119","Chihuahua",,,,"K",2011,"w","braun/weiss"
55835,"71-80","w",8,"82","Lagotto Romagnolo",,,,"I",2009,"m","marronschimmel"
60348,"71-80","m",11,"111","Mischling klein",,,,"K",2013,"w","schwarz/weiss"
60402,"61-70","w",11,"111","Border Terrier",,,,"K",2004,"m","rot/grau/schwarz"
60402,"61-70","w",11,"111","Mischling klein",,,,"K",2013,"m","dunkelbraun"
61323,"71-80","m",8,"81","Mudi",,,,"K",2010,"m","blondfarben"
62389,"71-80","m",8,"83","Boxer",,,,"I",2014,"w","gestromt"
62621,"71-80","m",11,"111","Papillon",,,,"K",2004,"w","schwarz/weiss"
62628,"61-70","m",7,"72","Yorkshire Terrier",,,,"K",2007,"w","graubraun"
63468,"81-90","m",7,"74","Mischling klein",,,,"K",2003,"m","braun/weiss"
63704,"71-80","m",10,"101","Dachshund",,,,"K",2012,"w","saufarben"
64444,"61-70","m",7,"71","Mischling klein",,,,"K",2007,"w","rot/weiss"
64718,"51-60","m",11,"115","Mischling klein",,,,"K",2004,"w","weiss/braun"
64727,"51-60","m",8,"83","Appenzeller Sennenhund",,"Border Collie",,"I",2016,"m","tricolor"
65665,"61-70","w",8,"82","Mops",,,,"K",2002,"m","beige"
65681,"51-60","m",2,"21","Italienisches Windspiel",,,,"K",2011,"m","blau"
65713,"71-80","w",2,"21","Lagotto Romagnolo",,,,"I",2005,"w","braun"
65732,"51-60","m",7,"72","Holländischer Schäfer",,,,"I",2009,"m","gestromt"
65758,"51-60","w",7,"71","Yorkshire Terrier",,,,"K",2007,"m","black/tan"
65794,"51-60","m",7,"72","Lagotto Romagnolo",,,,"I",2017,"m","braun/weiss"
65859,"51-60","m",3,"31","Schweizer Sennenhund",,,,"I",2016,"m","tricolor"
65940,"41-50","w",8,"81","Berner Sennenhund",,,,"I",2010,"w","tricolor"
65975,"61-70","w",7,"74","Labrador Retriever",,,,"I",2002,"w","braun"
65975,"61-70","w",7,"74","Labrador Retriever",,,,"I",2006,"m","schwarz"
65981,"51-60","w",6,"63","Labrador Retriever",,,,"I",2013,"m","gelb"
65981,"51-60","w",6,"63","Labrador Retriever",,,,"I",2017,"m","gelb"
66144,"51-60","m",5,"51","Labrador Retriever",,,,"I",2006,"m","braun"
66144,"51-60","m",5,"51","Deutsche Dogge",,,,"I",2013,"w","gelb"
66151,"51-60","m",11,"115","Deutscher Schäfer",,,,"I",2008,"w","schwarz/braun/weiss"
66266,"61-70","m",9,"91","Mischling klein",,,,"K",2006,"w","tricolor"
66298,"51-60","m",6,"63","Magyar Viszla",,,,"I",2010,"m","gelb"
66515,"61-70","m",8,"83","Labrador Retriever",,,,"I",2011,"w","braun"
66515,"61-70","m",8,"83","Labrador Retriever",,,,"I",2007,"w","braun"
66757,"51-60","w",1,"14","Mischling gross",,,,"I",2012,"m","braun/beige"
66869,"51-60","w",2,"24","Havaneser",,,,"K",2015,"m","braun/rot"
66898,"41-50","m",7,"73","Coton de Tulear",,,,"K",2010,"m","weiss"
66913,"51-60","m",8,"83","Hovawart",,,,"I",2012,"w","schwarz"
66913,"51-60","m",8,"83","Hovawart",,,,"I",2004,"w","blondfarben"
67001,"51-60","w",3,"34","Mops",,,,"K",2013,"m","beige"
67018,"71-80","w",6,"61","Labrador Retriever",,,,"I",2012,"m","beige"
67125,"51-60","m",7,"74","Rhodesian Ridgeback",,,,"I",2017,"m","blue/tan"
67135,"31-40","m",6,"61","Jack Russel Terrier",,,,"K",2010,"w","tricolor"
67135,"31-40","m",6,"61","Jack Russel Terrier",,,,"K",2017,"w","tricolor"
67180,"51-60","w",1,"11","English Cocker Spaniel",,,,"K",2004,"w","blauschimmel"
67220,"71-80","m",2,"21","Mischling klein",,,,"K",2010,"m","braun"
67272,"31-40","w",3,"33","Beagle",,,,"K",2017,"w","tricolor"
67308,"41-50","w",11,"111","Shih Tzu",,,,"K",2012,"w","braun/weiss"
70076,"31-40","m",9,"92","Labrador Retriever",,,,"I",2009,"m","braun"
70115,"41-50","w",4,"41","Mischling gross",,,,"I",2016,"m","schwarz/weiss"
70176,"41-50","w",4,"44","Mischling gross",,,,"I",2012,"w","weiss"
70296,"51-60","w",7,"74","Pinscher","Mischling",,,"K",2009,"m","hellbraun"
70296,"51-60","w",7,"74","Mischling klein",,,,"K",2010,"w","weiss/beige"
70577,"51-60","w",3,"34","Mischling klein",,,,"K",2014,"w","blondfarben"
70788,"31-40","m",7,"71","Mops",,"Beagle",,"K",2014,"w","braun"
70793,"71-80","m",11,"115","Soft Coated Wheaten Terrier",,,,"I",2012,"m","beige"
71024,"61-70","w",7,"74","Lagotto Romagnolo",,,,"I",2012,"w","bianco-aranico"
71119,"51-60","w",11,"115","Chihuahua",,,,"K",2017,"m","schwarz/weiss"
71119,"51-60","w",11,"115","Chihuahua",,"Prager Rattler",,"K",2010,"m","black/tan"
71142,"51-60","w",7,"71","Canaan Dog",,,,"I",2008,"m","schwarz"
71555,"61-70","m",7,"71","Mischling klein",,,,"K",2009,"m","schwarz schimmel"
71670,"61-70","m",7,"71","Deutscher Schäfer",,,,"I",2012,"w","braun"
71757,"41-50","m",4,"42","Bouvier",,,,"I",2012,"m","gestromt"
71761,"41-50","m",9,"92","Jack Russel Terrier",,,,"K",2010,"m","tricolor"
71885,"71-80","w",7,"73","Mischling klein",,,,"K",2013,"w","weiss/braun"
71893,"51-60","w",6,"63","Border Collie",,,,"I",2012,"w","tricolor"
71915,"71-80","w",1,"13","Mischling klein",,,,"K",2002,"m","grau"
71991,"51-60","m",6,"63","Border Collie",,,,"I",2015,"m","schwarz/weiss"
72136,"61-70","m",7,"72","Labrador Retriever",,,,"I",2007,"m","choco"
72370,"51-60","m",8,"82","Welsh Terrier",,,,"K",2017,"m","black/tan"
72580,"41-50","m",10,"102","Prager Rattler",,,,"K",2013,"m","hellbraun"
72580,"41-50","m",10,"102","Prager Rattler",,,,"K",2013,"m","braun"
80007,"71-80","m",11,"111","Labrador Retriever",,,,"I",2006,"m","blondfarben"
80011,"41-50","w",12,"123","Papillon","Mischling",,,"K",2001,"w","schwarz"
80011,"41-50","w",12,"123","Jura Laufhund","Mischling",,,"I",2003,"m","schwarz/braun/weiss"
80011,"41-50","w",12,"123","Yorkshire Terrier",,,,"K",2009,"m","tricolor"
80017,"61-70","m",6,"61","Labrador Retriever",,,,"I",2006,"w","schwarz"
80017,"61-70","m",6,"61","Spanischer Wasserhund",,,,"I",2004,"w","braun/weiss"
80021,"41-50","w",11,"111","Labrador Retriever",,,,"I",2011,"w","schwarz"
80023,"71-80","m",11,"111","Border Collie",,,,"I",2010,"m","tricolor"
80028,"41-50","w",10,"101","Border Collie",,"Deutscher Schäfer",,"I",2015,"w","tricolor"
80056,"81-90","m",7,"74","Labrador Retriever",,,,"I",2006,"w","schwarz"
80059,"71-80","w",12,"123","Französische Bulldogge",,,,"K",2007,"w","weiss"
80068,"51-60","m",9,"91","Bayerischer Gebirgsschweisshund",,,,"I",2011,"m","hirschrot mit Maske"
